listing_id,description,room_type,price,nbhood_full,host_name,last_review,month,price_per_month
20990770,Amazing room #1,private room,54,"Brooklyn, Williamsburg",Angie,2019-05-03,5,1647.0
20991910,Beautifully Designed Green Point in Greenpoint,entire home/apt,145,"Brooklyn, Greenpoint",Rinat,2019-06-04,6,4422.5
20992027,Peaceful Park Slope Condo with Fast Wifi! #10253,entire home/apt,300,"Brooklyn, Park Slope",Dan,2019-05-31,5,9150.0
20993138,Spacious Room only minutes away from 125th area,private room,58,"Manhattan, Harlem",Tyshawn,2019-06-30,6,1769.0
20994674,Nice bedroom in Brooklyn,private room,50,"Brooklyn, Bedford-Stuyvesant",Lara,2019-04-27,4,1525.0
20996070,Prime Location of Flushing Queens 豪华卧室 旅途中的家 B,private room,55,"Queens, Flushing",Max,2019-06-23,6,1677.5
20996372,"Luxury in Brooklyn Brownstone, Close to Metro!!!",entire home/apt,170,"Brooklyn, Bedford-Stuyvesant",Rohit,2019-06-22,6,5185.0
20996474,"Ping Pong Paradise in Brooklyn, Close to metro!!!",entire home/apt,124,"Brooklyn, Bedford-Stuyvesant",Rohit,2019-06-21,6,3782.0
20996830,"Perfect SOHO/NOLITA location, CLEAN and cozy home",private room,111,"Manhattan, Nolita",Grace,2019-06-09,6,3385.5
20998163,Walk to Times Square and Central Park-Cozy Room!!!,private room,107,"Manhattan, Midtown",Maxim,2019-07-05,7,3263.5
20999025,Sunny/spacious/convenient private room - Bushwick!,private room,60,"Brooklyn, Bushwick",Rahul,2019-07-06,7,1830.0
21005576,"Quiet, clean and spacious.",private room,135,"Manhattan, Upper West Side",Peter,2019-06-16,6,4117.5
21005699,Vics cafe,shared room,41,"Queens, Queens Village",Victor,2019-06-03,6,1250.5
21005994,Sun-filled Bed-Stuy Apt with Master Bedroom!,private room,80,"Brooklyn, Bedford-Stuyvesant",Claire,2019-03-23,3,2440.0
21006224,Cozy home in Bayside,private room,59,"Queens, Bayside",Ting,2019-07-05,7,1799.5
21007370,Charming bright room in SoHo w/access to rooftop,private room,175,"Manhattan, SoHo",Adriana,2019-07-01,7,5337.5
21007762,"Spacious, artistic 1-bedroom near The Cloisters!",entire home/apt,100,"Manhattan, Inwood",Leyla,2019-06-23,6,3050.0
21010072,The Nest,private room,32,"Queens, Ridgewood",Marc,2019-01-02,1,976.0
21010586,Cozy Junior One Bedroom apt in Greenwich Village,entire home/apt,245,"Manhattan, West Village",Nicola,2019-03-31,3,7472.5
21010714,"Beautiful,2,000sf,sunny,airy,SoHo loft w/balconies",entire home/apt,700,"Manhattan, Lower East Side",Anthony,2019-04-17,4,21350.0
21010735,Zen retreat in Bustling East Village,private room,90,"Manhattan, East Village",Taylor,2019-07-01,7,2745.0
21011427,Cheap bedroom with private half bath attached!,private room,30,"Manhattan, Washington Heights",Kathryn,2019-06-22,6,915.0
21011433,"BEST LOCATION, ROOFTOP, ROOMY AND BRIGHT",entire home/apt,135,"Manhattan, Financial District",Daniele,2019-06-17,6,4117.5
21011466,Spacious & Cozy Apt in Chinatown/Lower East Side,entire home/apt,200,"Manhattan, Lower East Side",Alek,2019-06-29,6,6100.0
21011532,"Brooklyn Factory Conversion -Bright, Plant Filled",entire home/apt,120,"Brooklyn, Bedford-Stuyvesant",William,2019-06-02,6,3660.0
21012137,"Comfortable bed, lighting, fresh linens, workspace",private room,119,"Brooklyn, Fort Greene",Collin,2019-06-04,6,3629.5
